X,Y,ExtractDate,Latitude,Longitude,Week,EpiWeek,WeeklyBoosterVaccines,Female,Male,NA,Moderna,Pfizer,AstraZeneca,Janssen,AD_Moderna,AD_Pfizer,AD_AstraZeneca,AD_Janssen,ID_Moderna,ID_Pfizer,ID_AstraZeneca,ID_Janssen,AD_Age0to9,AD_Age10to19,AD_Age20to29,AD_Age30to39,AD_Age40to49,AD_Age50to59,AD_Age60to69,AD_Age70to79,AD_Age80_,AD_NA,AD_Age0to9_Cum,AD_Age10to19_Cum,AD_Age20to29_Cum,AD_Age30to39_Cum,AD_Age40to49_Cum,AD_Age50to59_Cum,AD_Age60to69_Cum,AD_Age70to79_Cum,AD_Age80__Cum,AD_NA_Cum,BoosterPer_Age0to9,BoosterPer_Age10to19,BoosterPer_Age20to29,BoosterPer_Age30to39,BoosterPer_Age40to49,BoosterPer_Age50to59,BoosterPer_Age60to69,BoosterPer_Age70to79,BoosterPer_Age80_,BoosterPer_NA,ID_Age0to9,ID_Age10to19,ID_Age20to29,ID_Age30to39,ID_Age40to49,ID_Age50to59,ID_Age60to69,ID_Age70to79,ID_Age80_,ID_NA,ID_Age0to9_Cum,ID_Age10to19_Cum,ID_Age20to29_Cum,ID_Age30to39_Cum,ID_Age40to49_Cum,ID_Age50to59_Cum,ID_Age60to69_Cum,ID_Age70to79_Cum,ID_Age80__Cum,ID_NA_Cum,WeeklyAdditionalDose2,AD2_Age05to11,AD2_Age12to19,AD2_Age20to29,AD2_Age30to39,AD2_Age40to49,AD2_Age50to59,AD2_Age60to69,AD2_Age70to79,AD2_Age80_,AD2_NA,AD2_Age05to11_Cum,AD2_Age12to19_Cum,AD2_Age20to29_Cum,AD2_Age30to39_Cum,AD2_Age40to49_Cum,AD2_Age50to59_Cum,AD2_Age60to69_Cum,AD2_Age70to79_Cum,AD2_Age80__Cum,AD2_NA_Cum,Booster2Per_Age05to11,Booster2Per_Age12to19,Booster2Per_Age20to29,Booster2Per_Age30to39,Booster2Per_Age40to49,Booster2Per_Age50to59,Booster2Per_Age60to69,Booster2Per_Age70to79,Booster2Per_Age80_,Booster2Per_NA,WeeklyAdditionalDose3,AD3_Age05to11,AD3_Age12to19,AD3_Age20to29,AD3_Age30to39,AD3_Age40to49,AD3_Age50to59,AD3_Age60to69,AD3_Age70to79,AD3_Age80_,AD3_NA,AD3_Age05to11_cum,AD3_Age12to19_cum,AD3_Age20to29_cum,AD3_Age30to39_cum,AD3_Age40to49_cum,AD3_Age50to59_cum,AD3_Age60to69_cum,AD3_Age70to79_cum,AD3_Age80__cum,AD3_NA_cum,Booster3Per_Age05to11,Booster3Per_Age12to19,Booster3Per_Age20to29,Booster3Per_Age30to39,Booster3Per_Age40to49,Booster3Per_Age50to59,Booster3Per_Age60to69,Booster3Per_Age70to79,Booster3Per_Age80_,Booster3Per_NA,WeeklyAdditionalDose4,AD4_Age05to11,AD4_Age12to19,AD4_Age20to29,AD4_Age30to39,AD4_Age40to49,AD4_Age50to59,AD4_Age60to69,AD4_Age70to79,AD4_Age80_,AD4_NA,AD4_Age05to11_cum,AD4_Age12to19_cum,AD4_Age20to29_cum,AD4_Age30to39_cum,AD4_Age40to49_cum,AD4_Age50to59_cum,AD4_Age60to69_cum,AD4_Age70to79_cum,AD4_Age80__cum,AD4_NA_cum,Booster4Per_Age05to11,Booster4Per_Age12to19,Booster4Per_Age20to29,Booster4Per_Age30to39,Booster4Per_Age40to49,Booster4Per_Age50to59,Booster4Per_Age60to69,Booster4Per_Age70to79,Booster4Per_Age80_,Booster4Per_NA,ObjectId
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W39,2021-W39 - 26 September 2021 to 02 October 2021,7426,4244,3182,0,4,7421,1,0,3,6495,1,0,1,926,0,0,0,0,11,36,22,22,29,185,6194,0,0,0,11,36,22,22,29,185,6194,0,0,0,0.00177873506064678,0.00523562493728158,0.002805549887778,0.00346339973615191,0.00570725707257073,0.0528705870921463,3.3788649108643,,0,0,14,30,61,73,128,130,491,0,0,0,14,30,61,73,128,130,491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W40,2021-W40 - 03 October 2021 to 09 October 2021,58593,33775,24817,1,20,58573,0,0,11,49469,0,0,9,9104,0,0,0,3,22,75,69,75,360,2233,46643,0,0,3,33,111,91,97,389,2418,52837,0,0,0.000542764407681202,0.00533620518194034,0.0161431768899515,0.011604774535809,0.0152704442912152,0.0765559655596556,0.691032862642215,28.8229068930153,,0,11,219,471,1078,1543,2057,1175,2559,0,0,11,233,501,1139,1616,2185,1305,3050,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W41,2021-W41 - 10 October 2021 to 16 October 2021,64132,36536,27596,0,21,64111,0,0,10,52148,0,0,11,11963,0,0,0,1,42,75,113,125,511,2976,48315,0,0,4,75,186,204,222,900,5394,101152,0,0,0.000723685876908269,0.0121277390498644,0.0270507288426215,0.026015098959396,0.0349488518829875,0.177121771217712,1.54153484743263,55.1790351087739,,0,17,298,589,1342,1986,2665,2220,2857,0,0,28,531,1090,2481,3602,4850,3525,5907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W42,2021-W42 - 17 October 2021 to 23 October 2021,47928,26568,21360,0,14,47914,0,0,14,33172,0,0,0,14742,0,0,0,2,38,98,123,199,663,2835,29228,0,0,6,113,284,327,421,1563,8229,130380,0,0,0.0010855288153624,0.0182724601684624,0.0413032633941102,0.0417006733319731,0.0662768767690888,0.30760147601476,2.35174087125012,71.1230880010474,,0,31,469,946,1792,2688,3568,3119,2129,0,0,59,1000,2036,4273,6290,8418,6644,8036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W43,2021-W43 - 24 October 2021 to 30 October 2021,30396,16617,13779,0,30,30361,2,0,28,15606,1,0,2,14755,0,0,0,2,35,94,105,213,597,2651,11941,0,0,8,148,378,432,634,2160,10880,142321,0,0,0.00144737175381654,0.0239320717250658,0.0549740618414565,0.0550907977963681,0.0998088833054687,0.425092250922509,3.10936209493271,77.6369765868773,,0,24,551,1073,2088,2955,3628,3254,1185,0,0,83,1551,3109,6361,9245,12046,9898,9221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W44,2021-W44 - 31 October 2021 to 06 November 2021,59191,34063,25128,0,56,59132,3,0,42,46953,3,0,14,12179,0,0,0,5,425,967,1525,1761,8701,18614,15000,0,0,13,573,1345,1957,2395,10861,29494,157321,0,0,0.00235197909995188,0.0926559263409641,0.195608765017881,0.249566415017343,0.377038289458356,2.13746617466175,8.42900051727439,85.8195683955574,,0,15,357,790,1809,2561,2593,3050,1018,0,0,98,1908,3899,8170,11806,14639,12948,10239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W45,2021-W45 - 07 November 2021 to 13 November 2021,153152,94875,58277,0,78,153060,5,0,71,144655,5,0,7,8405,0,0,0,12,5385,12419,17247,18141,17551,54755,19227,0,0,25,5958,13764,19204,20536,28412,84249,176548,0,0,0.00452303673067668,0.963427590121229,2.00175393435399,2.4489900020404,3.23292622643707,5.59153751537515,24.0772653617634,96.3080145759235,,0,23,258,490,944,1329,1548,2990,833,0,0,121,2166,4389,9114,13135,16187,15938,11072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W46,2021-W46 - 14 November 2021 to 20 November 2021,177605,106508,71093,4,109,177485,1,0,86,165249,1,0,23,12236,0,0,0,25,5773,11616,15571,18826,21136,74951,17447,0,0,50,11731,25380,34775,39362,49548,159200,193995,0,0,0.00904607346135337,1.89694009058613,3.69111558078351,4.43468169761273,6.19665183701871,9.75114391143911,45.4972835949713,100,,0,45,462,881,1697,2360,2597,3492,726,0,0,166,2628,5270,10811,15495,18784,19430,11798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W47,2021-W47 - 21 November 2021 to 27 November 2021,200404,114459,85945,0,116,200262,6,0,110,185633,5,0,6,14629,0,0,0,102,6904,11633,17726,28968,41797,68817,9820,0,0,152,18635,37013,52501,68330,91345,228017,203815,0,0,0.0275000633225142,3.01333889592298,5.38294960565564,6.69518975719241,10.7570047259664,17.9768757687577,65.1642846323779,100,,1,58,752,1305,2656,3161,3447,2869,388,0,1,224,3380,6575,13467,18656,22231,22299,12186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
-856336.314876336,7036491.65084485,2024/05/13 00:00:00+00,53.28823,-7.6926,2021-W48,2021-W48 - 28 November 2021 to 04 December 2021,215771,115483,100284,4,155,215587,9,0,139,205465,9,0,16,10122,0,0,0,472,8887,12823,19358,41730,62695,54126,5539,0,0,624,27522,49836,71859,110060,154040,282143,209354,0,0,0.11289499679769,4.45039512173824,7.24785012151013,9.16381860844725,17.3264443164036,30.3153751537515,80.6327894807537,100,,0,57,601,1020,2019,2374,2407,1479,184,0,1,281,3981,7595,15486,21030,24638,23778,12370,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
